 Year , Jan , Feb , Mar , Apr , May , Jun , Jul , Aug , Sep , Oct , Nov , Dec ,Annual
1947,2.64,3.48,7.15,4.96,4.79,8.97,8.27,7.25,10.5,6.43,5.72,2.78,72.94
1948,5.11,1.05,6.78,4.69,2.49,3.72,10.95,8.11,10.13,4.68,2.81,2.75,63.27
1949,0.94,2.57,2.12,4.93,2.27,8,8.44,11.31,7.12,3.41,1.78,2.27,55.16
1950,0.38,1.06,3.86,2.98,3.3,3.91,8.24,6.56,7.35,6.61,0.82,2.76,47.83
1951,0.9,1.83,3.34,4.31,2.46,4.81,8.14,5.91,7.19,4.58,4.27,2.59,50.33
1952,1.15,5.83,3.82,2.31,3.97,3.49,5.65,8.07,6.37,6.26,1.18,1.43,49.53
1953,3.25,3.27,2.99,6.54,1.4,7.95,7.36,9.68,10.39,5.04,3.48,5.98,67.33
1954,0.96,2,2.49,3.66,4.38,5.71,7.63,4.67,6.33,2.85,2.45,1.88,45.01
1955,2.74,2.04,1.55,2.57,3.08,6.46,7.13,5.38,6.01,2.92,1.21,1.31,42.4
1956,2.36,2.56,1.36,2.69,3.73,5.2,6.04,5.61,6.26,6.66,0.55,0.92,43.94
1957,1.11,3.01,4.63,4.79,6.4,7.46,7.77,7.49,10.19,3.2,2.77,2.62,61.44
1958,5.37,3.19,6.29,4.53,5.31,6.11,6.72,5.75,3.86,4.36,2.15,3.59,57.23
1959,3.67,3.57,8.62,3.89,6.65,8.52,7.94,7.39,7.92,8.62,2.29,1.72,70.8
1960,1.88,5.06,6.34,4.46,2.81,6.84,10.57,6.53,11.93,4.03,1.02,1.69,63.16
1961,3.39,3.33,2.64,2.96,3.89,5.8,5.5,8.66,2.77,1.47,1.93,2.05,44.39
1962,1.89,1.49,3.91,2.94,2.07,8.21,6.59,7.1,8.03,1.93,3.01,1.47,48.64
1963,3.29,5.3,1.69,0.91,4.8,6.84,6.28,5.36,7.7,1.11,4.16,3.59,51.03
1964,5.79,5.4,3.24,4.47,3.13,5.62,8.8,8.31,7.85,4.44,2.08,4.32,63.45
1965,1.82,4.67,4.02,2.54,0.88,9.62,8.44,6.9,6.66,4.77,1.61,2.76,54.69
1966,5.21,5.81,1.92,2.38,5.88,8.8,6.89,7.46,7.07,3.25,0.98,1.95,57.6
1967,2.89,4.28,1.18,0.38,2.21,8.71,7.47,8.33,4.4,3.07,0.94,3.83,47.69
1968,1.16,2.47,1.6,0.98,6.01,9.85,7.79,7.28,5.17,5.09,2.84,2.02,52.26
1969,1.97,3.11,5.86,1.68,5.09,6.01,8.2,8.3,7.73,5.85,2.22,4.39,60.41
1970,4.05,4.32,7.81,1.54,4.49,6,5.96,8.29,4.35,4.02,0.77,1.51,53.11
1971,1.72,4.16,2.2,1.76,3.28,5.65,7.25,7.65,5.09,4.83,1.96,3.08,48.63
1972,3.02,4.19,4.59,2.19,5.05,8.31,4.57,7.09,2.29,2.6,5.05,3.13,52.08
1973,4.7,3.26,5.38,4.63,4.04,5.86,7.28,7.28,6.62,1.79,1.59,3.99,56.42
1974,1.66,1.92,2.51,1.74,3.96,9.8,8.16,7.07,6.56,1.07,1.43,2.62,48.5
1975,3.32,2.57,2.35,3.4,5.58,6.33,9.71,5.9,7.28,4.94,1.62,2.15,55.15
1976,2.13,1.46,2.48,2.02,8.84,6.98,5.08,6.35,5.79,3.2,3.77,3.53,51.63
1977,3.5,2.42,2.03,1.1,3.3,4.47,6.07,8.55,6.95,1.43,3.58,4.6,48
1978,4.35,4.06,4.05,2.11,5.44,6.59,8.99,6.34,3.63,2.16,1.7,3.91,53.33
1979,6.59,3.06,1.99,4.37,6.85,3.95,7.13,6.97,12.17,1.31,2.74,2.73,59.86
1980,3.85,1.87,4.94,4.81,4.59,4.9,7.22,4.97,4.61,3.2,3.52,0.81,49.29
1981,0.87,4.61,3.16,0.49,2.43,5.49,5.6,9.74,4.78,1.95,2.4,2.95,44.47
1982,2.71,3.66,5.26,5.24,4.99,9.95,8.27,6.09,6.67,3.29,2.25,2.94,61.32
1983,3.98,7.51,6.8,4.86,1.95,8.66,4.92,5.94,6.63,4.26,3.51,5.87,64.89
1984,1.98,3.84,4.55,4.32,5.12,4.76,9.29,5.24,5.13,1.41,3.03,0.67,49.34
1985,1.84,1.67,2.44,2.73,2.68,6.61,7.82,9.54,6.52,4.69,2.93,2.87,52.34
1986,4.31,3.81,4.31,0.6,2.33,7.27,5.75,8.11,4.14,4.07,3.25,4.41,52.36
1987,4.43,4.01,8.23,0.4,4.23,5.38,5.73,5.2,5.57,2.48,6.14,1.01,52.81
1988,4.04,4.03,4.97,1.7,2.62,4.55,7.25,8.51,8.27,1.77,3.55,1.28,52.54
1989,1.85,1.06,3.24,2.71,2.73,8.56,6.72,5.63,6.64,3.23,2.44,3.89,48.7
1990,2.1,3.9,2.7,2.48,2.88,5.63,6.75,6.33,3.48,3.77,1.19,1.4,42.61
1991,8.03,1.53,6.97,5.4,7.37,7.61,9.47,6.38,4.1,3.52,1.18,1.05,62.61
1992,3.67,4.1,3.24,2.84,1.86,11.58,4.75,9.4,5.13,3.57,4.79,1.25,56.18
1993,6.27,3.23,5.1,2.23,2.52,4.61,5.45,5.13,5.46,5.99,1.87,2.05,49.91
1994,5.82,2.39,3.67,3.38,2.7,8.39,7.96,8.32,8.2,6.17,3.87,3.37,64.78
1995,3.34,2.13,3.38,3.68,3.38,8.64,7.48,9.55,5.75,7.54,2.62,1.61,59.1
1996,3.43,1.99,7.21,3.07,3.86,7.09,5.19,6.92,5.11,5.93,1.12,3.04,53.96
1997,3.08,2.35,2.59,6.01,3.53,7.06,7.29,6.13,5.53,3.62,5.2,7.26,59.65
1998,4.59,8.44,6.02,1.22,1.79,2.23,7.59,6.65,11.92,1.9,3.19,1.51,57.05
1999,4.06,1.26,1.69,1.62,3.8,9.48,5.32,6.91,6.72,4.86,2.15,1.82,49.69
2000,2.21,1.08,2.56,2.1,0.91,5.72,6.45,5.28,8.48,1.86,2.02,1.62,40.29
2001,1.27,0.72,6.52,0.99,2.35,8.17,9.4,6.74,10.41,2.72,1.57,1.35,52.21
2002,3,2.68,2.7,2.41,2.36,10.19,7.61,7.37,6.63,3.72,3.64,6.18,58.49
2003,1.5,3.79,6.47,2.86,4.25,10.7,7.25,8.6,5.96,2.69,2.45,2.25,58.77
2004,2.28,5.25,1.02,2.22,1.77,7.94,6.91,9.85,12.52,2.57,2.49,2.4,57.22
2005,1.76,2.47,5.73,4.96,3.96,11.09,7.22,7.04,4.29,4.84,2.88,3.24,59.48
2006,1.47,4.08,0.43,1.44,2.67,5.57,6.27,6.76,5.25,1.97,1.85,3.24,41
2007,2.53,2.41,1.24,2.15,1.37,6.11,7.5,4.94,6.2,5.64,1.16,2.47,43.72
2008,2.85,4.13,3.39,3.41,1.58,6.65,8.1,12.77,3.19,3.64,1.39,2.03,53.13
2009,1.85,1.32,2.78,3.72,8.91,6.03,6.65,6.46,5.88,2.22,2.24,5.71,53.77
2010,4.23,3.7,5.87,2.75,4.22,5.24,6,8.16,4.33,0.44,2.07,1.11,48.12
2011,4.24,1.93,4.06,2.16,1.61,4.74,6.96,6.65,5.53,5.73,1.41,1.75,46.77
2012,1.13,2.53,2.34,2.63,5.29,12.57,5.84,10.38,5.59,3.65,0.43,2.71,55.09
2013,0.8,4.43,1.94,3.96,4.62 ,8.63,11.68,7.56,6.05,1.58 ,3.11,2.51,56.87
2014,3.91,3.52,5.2,5.29,4.74,5.88,7.18 ,5.24,8.85,2.48,4.06,2.78,59.13
2015,2.84,3.23,2,4.28,2.39,6.05,7.83,8.44,6.67,1.87,3.8,3.49,52.86
2016,6.05,3.25,3.43,2.93,4.62,7.11,4.87,8.12,7.43,2.67,0.21,2.72,53.41
2017,3.71,1.88,1.24,2.23,3.84,12.26,7.57,8.52,8.87,5.19,1.64,1.68,58.63
2018,2.96,2.4,2.15,3.74,9.31,6.59,8.4,7.61,4.91,2.12,3.15,7.18,60.52
2019,3.98,1.98,1.94,3.12,3.41,7.99,7.53,8.79,1.73,5.16,1.83,4.64,52.1
2020,1.57,3.48,0.53,4.31,5.25,7.19,7.99,7.92,9.3,4.26,3.85,2.33,57.98
2021,1.79,4.12,1.74,4.55,1.53,8.48,8.85,8.75,7.07,3.9,2.87,1.72,55.37
2022,2.27,1.19,5.39,3.29,4.62,6.78,7.47,7.05,9.66,1.38,3.74,1.93,54.77
2023,1.8,1.85,2.27,4.59,4.26,8.83,6.91,6.09,6.06,2.71,3.73,5.35,54.45
2024,3.57,2.7,3.96,2.59,3.66,7.32,6.9,8.39,9.34,5.2,1.45,1.76,56.75
2025,2.63,2.13,3.05,1.14,5.31,6.32,6.67,7.12,4.46,3.12,0.34,2.04,44.33
